step,train_loss,grad_norm,r_metric,lambda,lambda_norm,sigma_sq,sigma_sq_norm,delta_l,delta_l_norm,heuristic_alert,spike_alert,if_alert,grad_alert
10,4.960364818572998,85.05612182617188,0.0,0.1,0.0,49.609084788480864,0.0,0.0,0.0,False,False,False,False
20,3.3924198150634766,16.117666244506836,0.0,0.1,0.0,1.7358019335915968,0.0,0.0,0.0,False,False,False,False
30,2.2536544799804688,13.684792518615723,0.78,0.1,0.0,1.2495850206809316,0.0,1.9227378368377686,1.0,False,False,False,False
40,4.1426801681518555,14.13037109375,0.2472424632152785,0.1,0.0,1.3350066964056195,0.001766388737163195,0.6072004636128745,0.3157999244512226,False,False,False,False
50,3.4578659534454346,13.361197471618652,0.09306667442077032,0.1,0.0,1.1971479203297315,0.0,0.22941386699676514,0.11931624925739784,False,False,False,False
60,3.1762478351593018,11.020366668701172,0.18869779244885043,0.1,0.0,0.8092886286921936,0.0,0.46514921188354474,0.24192024672929544,False,False,False,False
70,3.7443861961364746,13.334702491760254,0.07729462468170187,0.1,0.0,1.1907929464354785,0.007817744084301049,0.18051401774088527,0.09388384327931451,False,False,False,False
80,1.9520103931427002,10.486139297485352,0.6643477790595589,0.1,0.0,0.7300470304164751,0.0,1.6376495020730153,0.8517279218712293,False,False,False,False
90,3.1056067943573,13.752338409423828,0.11897202181774152,0.1,0.0,1.2610362029853905,0.010863331131785819,0.27934691309928894,0.14528601234514474,False,False,False,False
